NAME,HR비율,K비율
최정,6.56,17.7
피렐라,5.54,12.5
양의지,6.62,9.9
알테어,6.19,27.8
로맥,5.36,17.9
나성범,5.03,20.1
박동원,6.13,26.4
양석환,5.15,23.5
김재환,5.54,21.5
노시환,4.05,25.6
추신수,4.08,21.6
한유섬,4.58,21.1
오재일,5.02,24.3
채은성,4.67,16.3
김현수,3.81,8.3
구자욱,3.27,16.4
강민호,4.07,11.5
박병호,3.79,26.1
한동희,3.86,22
박석민,4.88,21
최주환,4.24,17
강백호,3.04,13.7
이대호,4.59,10.1
페르난데스,3.14,6
정훈,2.85,14.2
장성우,3.9,13.4
라모스,3.9,21
이형종,4.55,19.9
권희동,4.68,14
힐리,2.61,21.6
정의윤,4.43,21.5
알몬테,2.81,19.7
문보경,4.19,18
황재균,3.38,16.9
이원석,2.7,15.8
박준영,4.44,31.9
박경수,3.87,29.7
노진혁,2.45,23.7
김강민,3.64,18.2
최형우,3.33,15.6
김병희,7.35,20.6
배정대,1.58,19.6
김민성,1.89,15.5
오지환,1.81,15.2
유강남,2.02,14.6
김인태,1.99,14.3
안치홍,2.03,13
터커,1.68,11.5
조한민,4.17,35.4
전병우,2.25,31.5
지시완,3.51,29
김준태,3.05,26.7
김호령,3.92,25.5
오태곤,3.15,25.2
하주석,1.24,22.8
황대인,3.18,20.6
추재현,2.55,17.8
정은원,1.15,16.4
강진성,1.91,15.8
심우준,1.65,15.6
최재훈,1.65,15.2
박해민,1.22,14.1
서건창,1.21,13
마차도,1.46,12.4
최지훈,1.38,11.7
김태군,2.7,10.8
전준우,1.16,9.3
김성현,2.2,8.2
허경민,1.33,6.3
이학주,2.63,32.5
김웅빈,1.55,26.3
윤형준,11.54,23.1
송우현,1.06,17.4
김혜성,0.82,16.4
정주현,1.45,15.5
이재원,1.39,13.9
홍창기,0.88,12.9
김민수,4.41,11.8
김헌곤,1.58,10
이정후,0.85,6.2
강로한,5.71,51.4
이진영,4.76,45.2
김수환,4.65,39.5
문상철,2.38,32.1
오윤석,2.63,27.6
김민수,1.34,26.2
안재석,1.39,24.3
장승현,1.34,24.2
송준석,3.64,23.6
이정훈,1.36,22.5
이흥련,1.87,22.4
박계범,1.63,22
강승호,1.2,21.6
정진기,2.63,21.1
최인호,8.33,20.8
프레이타스,1.35,19.6
김민식,1.3,18.8
박건우,0.81,13
허도환,3.64,12.7
이명기,0.86,11.6
이천웅,1.03,11.3
김선빈,0.65,7.2
이주형,10,60
이홍구,1.82,49.1
김주성,14.29,42.9
배성근,1.37,37
임종찬,0.87,35.7
유장혁,0.89,34.8
권동진,1.54,33.9
강태율,3.23,32.3
오준혁,3.23,29
노수광,0.84,28.6
김휘집,1.67,28.3
나승엽,1.33,28
이영빈,2.63,26.3
김민하,0.75,26.1
이성열,0.73,26.1
한승택,0.78,24.2
김동엽,1.01,23.2
김태훈,1.49,20.9
김찬형,1.14,20.5
김재성,1.79,19.6
도태훈,2.33,18.6
최영진,2.63,18.4
정수빈,0.78,18
정범모,4.35,17.4
박찬호,0.41,16.1
백용환,3.85,15.4
박성한,0.46,15.2
김재유,1.39,13.9
김재호,0.72,13.7
손아섭,0.29,11.1
김지찬,0.51,10.7
박민우,0.47,10.7
최원준,0.29,10.1
김상수,0.36,9.4
신용수,2.13,8.5
박승규,4.17,8.3
유한준,0.67,8.1
